72
72
45,38,16,22,29,40,47,19,24,20,27,44,21,37,35,26,17,41,32,36,33,25,18,43,49,42,28,23,15,50,51,57,55,56,53,58,59,52,54,48,39,60,61,67,63,62,64,46,65,69,68,70,66,72,71,74,73,76,75,77,78,79,80,33,25,18,43,49,42,28,23,15
0.11,0.12,0.14,0.16,0.13,0.18,0.19,0.15,0.21,0.17,0.23,0.22,0.24,0.25,0.28,0.27,0.29,0.26,0.31,0.32,0.35,0.34,0.3,0.33,0.36,0.38,0.37,0.39,0.42,0.44,0.45,0.41,0.48,0.47,0.46,0.43,0.51,0.53,0.52,0.54,0.5,0.55,0.49,0.56,0.58,0.57,0.6,0.59,0.63,0.62,0.61,0.64,0.68,0.65,0.67,0.66,0.7,0.69,0.72,0.71,0.74,0.73,0.75,0.76,0.8,0.78,0.77,0.79,0.25,0.28,0.27,0.29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,8,9,7,11,14,12,13,19,20,21,16,18,17,23,22,25,24,28,27,30,26,29,33,32,31,35,34,36,37,39,38,43,42,41,40,45,44,47,46,49,48,50,51,53,52,55,54,58,57,56,59,60,61,63,62,65,64,66,67,68,69,70,72,71,24,28,27,30,26,29
0.13,0.15,0.17,0.19,0.21,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.87,0.89,0.91,0.93,0.95,0.97,0.99,1.01,1.03,1.05,1.07,1.09,1.11,1.13,1.15,1.17,1.19,1.21,1.23,1.25,1.27,1.29,1.31,1.33,1.35,1.37,1.39,1.41,1.43,1.45,29,0.31,0.33,0.35,0.37
80,100,110,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,250,260,270,280,290,300
330,260,280,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,410,420,430,440
220,170,190,230,210,200,220,270,290,240,260,280,300,220,240,270,250,230,290,260,220,240,270,280,230,250,210,280,260,290,220,240,270,300,150,100,250,220,210,230,270,290,240,260,280,300,220,240,270,250,270,290,240,260,280,300,220,240,270,250,230,290,260,260,220,240,270,280,300,190,300,220
350,150,100,250,220,210,230,270,290,240,260,280,300,220,240,270,250,230,290,260,220,240,270,280,230,250,210,280,260,290,220,240,270,300,150,100,250,220,210,230,270,290,240,260,280,300,220,240,270,250,270,290,240,260,280,300,220,240,270,250,230,290,260,260,220,240,270,250,230,290,260,220
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,170,180,140,160,125,135,180,145,170,180,190,130,170,160,170,180,170,180,160,170,180,150,160,170,180,170,180,160,170,180,115,150,140,130,125,135,160,145,120,130,140,150,170,180,190,130,135,145,160,130,125,135,160,145,120,130,140,150,170,150,170,180,140,160,125,135,180,145,170,180,190
15,50,40,30,25,35,60,45,20,30,40,50,70,80,90,30,35,45,60,70,80,15,20,25,50,60,70,80,15,20,25,15,50,40,30,25,35,60,45,20,30,40,50,70,80,90,30,35,45,60,30,25,35,60,45,20,30,40,50,70,15,50,40,30,25,35,60,45,20,30,40,50
