50
50
20,15,5,12,18,22,25,10,16,25,15,20,28,18,22,30,16,12,19,30,21,11,16,14,13,15,18,30,27,35,20,18,19,21,26,23,27,29,20,15,22,16,28,25,18,10,22,30,25,20
0.4,0.5,1.0,0.3,0.7,0.8,0.6,0.7,0.4,0.9,0.5,0.6,0.7,0.3,0.8,0.9,0.4,0.6,0.2,0.7,0.8,0.5,0.3,0.9,0.2,0.6,0.7,0.4,0.8,0.5,0.9,0.1,0.5,0.7,0.2,0.6,0.8,0.4,0.3,0.7,0.9,0.5,0.2,0.8,0.6,0.1,0.4,0.9,0.3,0.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,6,11,9,15,13,9,7,8,12,10,7,14,16,8,5,9,15,12,13,11,4,9,6,8,13,10,14,7,15,12,5,11,3,12,13,14,15,18,19,14,20,10,5,12,13,11,9,8
0.135,0.125,0.115,0.105,0.14,0.09,0.12,0.1,0.15,0.12,0.095,0.11,0.125,0.135,0.095,0.14,0.085,0.105,0.115,0.105,0.11,0.13,0.145,0.085,0.09,0.14,0.12,0.15,0.1,0.13,0.145,0.145,0.085,0.095,0.13,0.135,0.125,0.105,0.115,0.14,0.105,0.11,0.13,0.145,0.085,0.09,0.14,0.125,0.115,0.1
60,70,90,80,70,90,110,100,50,60,70,80,90,110,100,80,60,70,90,110,120,130,70,90,100,80,90,60,70,80,70,90,100,110,80,60,70,90,110,100,70,90,110,120,130,60,70,80,90,100
270,280,290,300,220,230,240,250,260,270,280,290,300,290,300,220,230,240,260,270,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560
140,120,140,120,140,150,130,170,190,130,120,140,170,120,140,170,130,140,170,180,190,200,210,230,140,160,120,140,170,130,140,170,200,130,140,170,140,120,140,130,140,170,190,140,160,120,140,170,200,130
270,290,250,240,260,270,270,280,290,260,240,270,290,250,240,260,280,290,300,270,280,300,290,260,270,270,280,300,260,280,290,270,290,270,260,260,280,290,260,270,270,280,290,240,270,290,250,240,270,220
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,500,400,350,300,450,550,400,250,300,350,400,450,500,550,300,350,400,450,500,550,250,300,350,400,450,500,550,250,300,350,400,150,500,400,350,300,450,550,400,250,300,350,400,450,500,550,300,350,400
15,50,40,30,25,35,60,45,20,30,40,50,70,80,90,30,35,45,60,70,80,15,20,25,50,60,70,80,15,20,25,15,50,40,30,25,35,60,45,20,30,40,50,70,80,90,30,35,45,25

